event_id,event_date,event_end_date,event_title,event_description,event_type,region,expected_direction,confidence,source_name,source_url,notes
E01_gulf_war_1990,1990-08-01,1991-02-01,"Gulf War (Iraq invades Kuwait; coalition conflict)","Iraq’s invasion of Kuwait and subsequent coalition military action disrupted supply expectations and drove large oil price volatility.",geopolitics,middle_east,up,high,"General reference (curate with EIA/OPEC/major news archive)",,"Use month-start granularity; refine with exact dates if needed."
E02_asian_fin_crisis_1997,1997-07-01,1998-12-01,"Asian Financial Crisis","Regional financial crisis reduced demand growth expectations across emerging markets, pressuring crude prices.",demand_shock,asia,down,medium,"General reference (curate with IMF/EIA timelines)",,
E03_dotcom_recession_2001,2001-03-01,2001-11-01,"2001 global slowdown (dot-com bust; US recession)","Economic slowdown reduced demand outlook; prices weakened amid lower growth expectations.",demand_shock,global,down,medium,"General reference (curate with NBER/EIA)",,
E04_iraq_war_2003,2003-03-01,2003-05-01,"Iraq War begins","Geopolitical risk premium increased with invasion and conflict uncertainty affecting supply expectations.",geopolitics,middle_east,up,medium,"General reference (curate with EIA/OPEC/major news archive)",,
E05_global_fin_crisis_2008,2008-09-01,2009-06-01,"Global Financial Crisis (Lehman; demand collapse)","Financial crisis led to sharp contraction in economic activity and oil demand; major price collapse and volatility regime shift.",financial_crisis,global,down,high,"General reference (curate with EIA/World Bank)",,
E06_arab_spring_libya_2011,2011-02-01,2011-10-01,"Arab Spring; Libya supply disruption","Regional unrest and Libya’s supply outage tightened supply and elevated risk premiums, supporting higher prices.",supply_disruption,middle_east_n_africa,up,high,"General reference (curate with EIA/OPEC)",,
E12_us_shale_growth_2010s,2010-01-01,2014-06-01,"Rapid US shale production growth (supply expansion)","Rising US tight oil production expanded non-OPEC supply, altering the supply curve and contributing to later market rebalancing dynamics.",supply_expansion,us,down,medium,"General reference (curate with EIA production data)",,"Long-run structural driver; useful for explaining gradual regime drift."
E07_opec_no_cut_2014,2014-11-01,2016-02-01,"OPEC shifts to market-share strategy (no production cut)","OPEC’s decision to avoid cutting output amid rising US shale supply contributed to a prolonged oil price downturn.",opec_policy,global,down,high,"General reference (curate with OPEC communiqués / EIA)",,"Use Nov 2014 as anchor; can add June 2014 peak separately if desired."
E08_opec_plus_cuts_2016,2016-12-01,2018-06-01,"OPEC+ coordinated production cuts (initial agreement)","OPEC and partners coordinated cuts to rebalance markets, supporting a recovery and shifting price dynamics.",opec_policy,global,up,medium,"General reference (curate with OPEC/IEA)",,
E14_iran_sanctions_2018,2018-05-01,2019-05-01,"Iran sanctions tightening (US withdrawal from JCPOA)","Sanctions tightened expected supply from Iran, affecting risk premia and price dynamics amid global demand uncertainties.",geopolitics,middle_east,up,medium,"General reference (curate with EIA/IEA/news archive)",,
E09_covid_demand_shock_2020,2020-03-01,2020-06-01,"COVID-19 global demand shock","Pandemic restrictions triggered an unprecedented collapse in mobility and oil demand, causing extreme volatility and regime change.",demand_shock,global,down,high,"General reference (curate with WHO/EIA/IEA)",,"WTI went negative in Apr 2020; Brent did not, but experienced major dislocation."
E10_opec_plus_price_war_2020,2020-04-01,2020-05-01,"OPEC+ price war & subsequent historic cuts","Breakdown and renegotiation of OPEC+ cooperation amplified price collapse; later record cuts helped stabilize markets.",opec_policy,global,down,high,"General reference (curate with OPEC statements / news archive)",,
E11_russia_ukraine_2022,2022-02-01,2022-12-01,"Russia–Ukraine war; sanctions and supply re-routing","Invasion and subsequent sanctions increased supply risk and reshaped trade flows, triggering large price spikes and volatility.",geopolitics,europe,up,high,"General reference (curate with IEA/EIA/major news archive)",,
E15_opec_plus_cuts_2023,2023-04-01,2023-12-01,"OPEC+ voluntary supply cuts (2023)","Additional voluntary cuts aimed to support prices amid macro uncertainty, influencing price level and volatility.",opec_policy,global,up,medium,"General reference (curate with OPEC announcements)",,
