event_id,event_name,start_date,end_date,event_type,region,description,source,expected_direction,confidence,source_name,source_url
E01_gulf_war_1990,Gulf War (Iraq invades Kuwait; coalition conflict),1990-08-01,1991-02-01,geopolitics,middle_east,Iraq’s invasion of Kuwait and subsequent coalition military action disrupted supply expectations and drove large oil price volatility.,General reference (curate with EIA/OPEC/major news archive),up,high,General reference (curate with EIA/OPEC/major news archive),
E02_asian_fin_crisis_1997,Asian Financial Crisis,1997-07-01,1998-12-01,demand_shock,asia,"Regional financial crisis reduced demand growth expectations across emerging markets, pressuring crude prices.",General reference (curate with IMF/EIA timelines),down,medium,General reference (curate with IMF/EIA timelines),
E03_dotcom_recession_2001,2001 global slowdown (dot-com bust; US recession),2001-03-01,2001-11-01,demand_shock,global,Economic slowdown reduced demand outlook; prices weakened amid lower growth expectations.,General reference (curate with NBER/EIA),down,medium,General reference (curate with NBER/EIA),
E04_iraq_war_2003,Iraq War begins,2003-03-01,2003-05-01,geopolitics,middle_east,Geopolitical risk premium increased with invasion and conflict uncertainty affecting supply expectations.,General reference (curate with EIA/OPEC/major news archive),up,medium,General reference (curate with EIA/OPEC/major news archive),
E05_global_fin_crisis_2008,Global Financial Crisis (Lehman; demand collapse),2008-09-01,2009-06-01,financial_crisis,global,Financial crisis led to sharp contraction in economic activity and oil demand; major price collapse and volatility regime shift.,General reference (curate with EIA/World Bank),down,high,General reference (curate with EIA/World Bank),
E12_us_shale_growth_2010s,Rapid US shale production growth (supply expansion),2010-01-01,2014-06-01,supply_expansion,us,"Rising US tight oil production expanded non-OPEC supply, altering the supply curve and contributing to later market rebalancing dynamics.",General reference (curate with EIA production data),down,medium,General reference (curate with EIA production data),
E06_arab_spring_libya_2011,Arab Spring; Libya supply disruption,2011-02-01,2011-10-01,supply_disruption,middle_east_n_africa,"Regional unrest and Libya’s supply outage tightened supply and elevated risk premiums, supporting higher prices.",General reference (curate with EIA/OPEC),up,high,General reference (curate with EIA/OPEC),
E07_opec_no_cut_2014,OPEC shifts to market-share strategy (no production cut),2014-11-01,2016-02-01,opec_policy,global,OPEC’s decision to avoid cutting output amid rising US shale supply contributed to a prolonged oil price downturn.,General reference (curate with OPEC communiqués / EIA),down,high,General reference (curate with OPEC communiqués / EIA),
E08_opec_plus_cuts_2016,OPEC+ coordinated production cuts (initial agreement),2016-12-01,2018-06-01,opec_policy,global,"OPEC and partners coordinated cuts to rebalance markets, supporting a recovery and shifting price dynamics.",General reference (curate with OPEC/IEA),up,medium,General reference (curate with OPEC/IEA),
E14_iran_sanctions_2018,Iran sanctions tightening (US withdrawal from JCPOA),2018-05-01,2019-05-01,geopolitics,middle_east,"Sanctions tightened expected supply from Iran, affecting risk premia and price dynamics amid global demand uncertainties.",General reference (curate with EIA/IEA/news archive),up,medium,General reference (curate with EIA/IEA/news archive),
E09_covid_demand_shock_2020,COVID-19 global demand shock,2020-03-01,2020-06-01,demand_shock,global,"Pandemic restrictions triggered an unprecedented collapse in mobility and oil demand, causing extreme volatility and regime change.",General reference (curate with WHO/EIA/IEA),down,high,General reference (curate with WHO/EIA/IEA),
E10_opec_plus_price_war_2020,OPEC+ price war & subsequent historic cuts,2020-04-01,2020-05-01,opec_policy,global,Breakdown and renegotiation of OPEC+ cooperation amplified price collapse; later record cuts helped stabilize markets.,General reference (curate with OPEC statements / news archive),down,high,General reference (curate with OPEC statements / news archive),
E11_russia_ukraine_2022,Russia–Ukraine war; sanctions and supply re-routing,2022-02-01,2022-12-01,geopolitics,europe,"Invasion and subsequent sanctions increased supply risk and reshaped trade flows, triggering large price spikes and volatility.",General reference (curate with IEA/EIA/major news archive),up,high,General reference (curate with IEA/EIA/major news archive),
E15_opec_plus_cuts_2023,OPEC+ voluntary supply cuts (2023),2023-04-01,2023-12-01,opec_policy,global,"Additional voluntary cuts aimed to support prices amid macro uncertainty, influencing price level and volatility.",General reference (curate with OPEC announcements),up,medium,General reference (curate with OPEC announcements),
