tau,tau_date
5397,2008-08-08
5397,2008-08-08
5404,2008-08-19
5374,2008-07-08
5410,2008-08-27
5410,2008-08-27
5363,2008-06-20
5366,2008-06-25
5366,2008-06-25
5375,2008-07-09
5365,2008-06-24
5365,2008-06-24
5365,2008-06-24
5365,2008-06-24
5398,2008-08-11
5398,2008-08-11
5397,2008-08-08
5366,2008-06-25
5366,2008-06-25
5394,2008-08-05
5394,2008-08-05
5394,2008-08-05
5394,2008-08-05
5394,2008-08-05
5394,2008-08-05
5394,2008-08-05
5371,2008-07-02
5407,2008-08-22
5407,2008-08-22
5407,2008-08-22
5407,2008-08-22
5407,2008-08-22
5407,2008-08-22
5407,2008-08-22
5367,2008-06-26
5400,2008-08-13
5400,2008-08-13
5400,2008-08-13
5400,2008-08-13
5400,2008-08-13
5400,2008-08-13
5400,2008-08-13
5400,2008-08-13
5400,2008-08-13
5400,2008-08-13
5400,2008-08-13
5400,2008-08-13
5400,2008-08-13
5361,2008-06-18
5361,2008-06-18
5361,2008-06-18
5361,2008-06-18
5361,2008-06-18
5361,2008-06-18
5361,2008-06-18
5361,2008-06-18
5361,2008-06-18
5352,2008-06-05
5352,2008-06-05
5352,2008-06-05
5352,2008-06-05
5364,2008-06-23
5366,2008-06-25
5404,2008-08-19
5404,2008-08-19
5405,2008-08-20
5405,2008-08-20
5374,2008-07-08
5355,2008-06-10
5353,2008-06-06
5391,2008-07-31
5391,2008-07-31
5391,2008-07-31
5391,2008-07-31
5419,2008-09-10
5407,2008-08-22
5407,2008-08-22
5407,2008-08-22
5405,2008-08-20
5405,2008-08-20
5405,2008-08-20
5377,2008-07-11
5377,2008-07-11
5377,2008-07-11
5397,2008-08-08
5399,2008-08-12
5399,2008-08-12
5399,2008-08-12
5371,2008-07-02
5371,2008-07-02
5365,2008-06-24
5365,2008-06-24
5371,2008-07-02
5399,2008-08-12
5385,2008-07-23
5385,2008-07-23
5377,2008-07-11
5391,2008-07-31
5391,2008-07-31
5393,2008-08-04
5393,2008-08-04
5393,2008-08-04
5406,2008-08-21
5406,2008-08-21
5420,2008-09-11
5420,2008-09-11
5364,2008-06-23
5352,2008-06-05
5389,2008-07-29
5406,2008-08-21
5406,2008-08-21
5406,2008-08-21
5406,2008-08-21
5406,2008-08-21
5406,2008-08-21
5406,2008-08-21
5406,2008-08-21
5406,2008-08-21
5406,2008-08-21
5406,2008-08-21
5406,2008-08-21
5406,2008-08-21
5406,2008-08-21
5406,2008-08-21
5406,2008-08-21
5406,2008-08-21
5406,2008-08-21
5406,2008-08-21
5406,2008-08-21
5397,2008-08-08
5381,2008-07-17
5345,2008-05-27
5396,2008-08-07
5400,2008-08-13
5400,2008-08-13
5404,2008-08-19
5401,2008-08-14
5401,2008-08-14
5401,2008-08-14
5401,2008-08-14
5401,2008-08-14
5401,2008-08-14
5403,2008-08-18
5396,2008-08-07
5396,2008-08-07
5396,2008-08-07
5396,2008-08-07
5399,2008-08-12
5399,2008-08-12
5399,2008-08-12
5400,2008-08-13
5400,2008-08-13
5400,2008-08-13
5400,2008-08-13
5400,2008-08-13
5388,2008-07-28
5388,2008-07-28
5388,2008-07-28
5378,2008-07-14
5397,2008-08-08
5397,2008-08-08
5397,2008-08-08
5397,2008-08-08
5397,2008-08-08
5397,2008-08-08
5404,2008-08-19
5404,2008-08-19
5404,2008-08-19
5395,2008-08-06
5395,2008-08-06
5393,2008-08-04
5393,2008-08-04
5393,2008-08-04
5393,2008-08-04
5384,2008-07-22
5399,2008-08-12
5399,2008-08-12
5400,2008-08-13
5400,2008-08-13
5400,2008-08-13
5399,2008-08-12
5399,2008-08-12
5389,2008-07-29
5389,2008-07-29
5389,2008-07-29
5372,2008-07-03
5351,2008-06-04
5351,2008-06-04
5353,2008-06-06
5353,2008-06-06
5362,2008-06-19
5362,2008-06-19
5406,2008-08-21
5406,2008-08-21
5406,2008-08-21
5406,2008-08-21
5406,2008-08-21
5406,2008-08-21
5405,2008-08-20
5405,2008-08-20
5405,2008-08-20
5395,2008-08-06
5390,2008-07-30
5390,2008-07-30
5368,2008-06-27
5375,2008-07-09
5375,2008-07-09
5376,2008-07-10
5378,2008-07-14
5364,2008-06-23
5396,2008-08-07
5396,2008-08-07
5396,2008-08-07
5396,2008-08-07
5396,2008-08-07
5396,2008-08-07
